timestamp,instance_id,S,K,J_sk,T,observations_possible,downlinks_possible,time_limit_minutes,eossp_status,eossp_objective,eossp_data_downlinked_gb,eossp_runtime_minutes,eossp_num_variables,eossp_num_constraints,eossp_num_nonzeros,reossp_exact_status,reossp_exact_objective,reossp_exact_data_downlinked_gb,reossp_exact_runtime_minutes,reossp_exact_num_variables,reossp_exact_num_constraints,reossp_exact_num_nonzeros,reossp_rhp_status,reossp_rhp_objective,reossp_rhp_data_downlinked_gb,reossp_rhp_runtime_minutes,reossp_rhp_num_variables,reossp_rhp_num_constraints,reossp_rhp_num_stages_solved,eossp_figure_of_merit,reossp_exact_figure_of_merit,reossp_rhp_figure_of_merit,exact_vs_baseline_obj_diff,exact_vs_baseline_obj_pct,rhp_vs_baseline_obj_diff,rhp_vs_baseline_obj_pct,exact_vs_baseline_runtime_ratio,rhp_vs_baseline_runtime_ratio,rhp_vs_exact_runtime_ratio
20260107_061125,1,8,5,20,1728,20812,14039,60,optimal,1233.0,40.234375,0.3406442125638326,846720,885797,885797,optimal,3276.0,86.328125,2.1394358833630878,862720,890785,890785,completed,3281.0,85.3515625,0.5389530897140503,862720,890110,8,3619.6123536634304,1531.2447666579703,6087.728343371747,2043.0,165.6934306569343,2048.0,166.09894566098947,6.280558437381887,1.5821583629959868,0.25191364410829764
20260107_070240,2,8,6,20,1728,25366,16620,60,optimal,1569.0,50.87890625,0.4109058976173401,1016064,1062919,1062919,optimal,3892.0,102.05078125,3.4043264230092367,1035264,1068972,1068972,completed,2895.0,78.125,0.6152634700139363,1035264,1068162,8,3818.3925056757053,1143.2511211893973,4705.30129138729,2323.0,148.05608667941362,1326.0,84.51242829827916,8.284929573290153,1.4973342402276886,0.180729869455373
20260107_075428,3,9,5,20,1728,20921,14060,60,optimal,1265.0,41.2109375,0.3729408582051595,889920,928950,928950,optimal,3272.0,89.16015625,2.649848186969757,907920,934100,934100,completed,2168.0,60.05859375,0.5022465507189433,907920,933330,9,3391.95873063634,1234.7877195718547,4316.605055617815,2007.0,158.65612648221344,903.0,71.38339920948617,7.105277227393631,1.3467190297573968,0.18953785850399568
20260107_085433,4,9,6,20,1728,25495,16505,60,optimal,1567.0,51.07421875,0.4550197680791219,1067904,1114752,1114752,optimal,3929.0,99.21875,3.899013904730479,1089504,1120926,1120926,completed,3883.0,98.92578125,0.6687611659367879,1089504,1120002,9,3443.806423213506,1007.6906869280821,5806.258194673681,2362.0,150.73388640714742,2316.0,147.79834077855776,8.568889042316272,1.4697409054555608,0.17152059014855356
20260107_100309,5,12,5,20,1728,21077,13607,60,optimal,1307.0,42.48046875,0.40507154862085976,1019520,1058618,1058618,optimal,3327.0,91.2109375,3.3864280422528585,1043520,1064050,1064050,completed,3291.0,89.74609375,0.6151243170102437,1043520,1062995,12,3226.590473830909,982.4511132345446,5350.138027375683,2020.0,154.55241009946442,1984.0,151.79801071155316,8.360073803708438,1.518557200831673,0.18164399459704023
20260107_112040,6,12,6,20,1728,25081,16648,60,optimal,1609.0,52.34375,0.5185030341148377,1223424,1270341,1270341,optimal,4028.0,110.83984375,5.217067404588064,1252224,1276830,1276830,completed,3968.0,108.30078125,0.7529275218645731,1252224,1275564,12,3103.1640976736116,772.0812647460989,5270.095573307669,2419.0,150.34182722187694,2359.0,146.61280298321938,10.061787610354834,1.4521178707274744,0.14432006786081075
