timestamp,instance_id,S,K,J_sk,T,unavailable_prob,observations_possible,downlinks_possible,unavailable_slots,pop_size,n_generations,tp_ga_status,tp_ga_objective,tp_ga_total_observations,tp_ga_total_downlinks,tp_ga_data_downlinked_gb,tp_ga_runtime_minutes,tp_ga_propellant_used,tp_ga_generations_completed,tp_ga_final_population_size,tp_ga_figure_of_merit
20260115_144239,1,8,5,20,1728,0.1,20812,14039,15,50,30,completed,2884.0,1256,814,79.4921875,2.0600623925526937,5.119999999999999,30,50,1399.957598578525
20260115_144651,2,8,6,20,1728,0.1,25036,16718,15,50,30,completed,3272.0,1490,891,87.01171875,2.392961287498474,7.2,30,50,1367.343474001807
20260115_144834,3,9,5,20,1728,0.1,21203,13995,20,50,30,completed,2700.0,1230,735,71.77734375,1.7036285241444906,5.319999999999999,30,50,1584.8525436939701
20260115_145107,4,9,6,20,1728,0.1,25052,16801,14,50,30,completed,3271.0,1429,921,89.94140625,2.5472353100776672,6.519999999999999,30,50,1284.1373496429212
20260115_145322,5,12,5,20,1728,0.1,21162,13807,21,50,30,completed,2744.0,1198,773,75.48828125,2.2403959671656293,7.939999999999997,30,50,1224.7834937283387
20260115_145607,6,12,6,20,1728,0.1,25275,16331,22,50,30,completed,2849.0,1231,809,79.00390625,2.7349452058474224,8.799999999999997,30,50,1041.7027711958265
