timestamp,instance_id,S,K,J_sk,T,observations_possible,downlinks_possible,time_limit_minutes,eossp_status,eossp_objective,eossp_data_downlinked_gb,eossp_runtime_minutes,eossp_num_variables,eossp_num_constraints,eossp_num_nonzeros,reossp_exact_status,reossp_exact_objective,reossp_exact_data_downlinked_gb,reossp_exact_runtime_minutes,reossp_exact_num_variables,reossp_exact_num_constraints,reossp_exact_num_nonzeros,reossp_rhp_status,reossp_rhp_objective,reossp_rhp_data_downlinked_gb,reossp_rhp_runtime_minutes,reossp_rhp_num_variables,reossp_rhp_num_constraints,reossp_rhp_num_stages_solved,eossp_figure_of_merit,reossp_exact_figure_of_merit,reossp_rhp_figure_of_merit,exact_vs_baseline_obj_diff,exact_vs_baseline_obj_pct,rhp_vs_baseline_obj_diff,rhp_vs_baseline_obj_pct,exact_vs_baseline_runtime_ratio,rhp_vs_baseline_runtime_ratio,rhp_vs_exact_runtime_ratio
20260108_055129,1,8,5,20,1728,20812,14039,60,optimal,1233.0,40.234375,0.33992488781611124,846720,885797,885797,optimal,1233.0,40.234375,1.702516011397044,862720,891395,891395,completed,541.0,17.48046875,0.356877871354421,862720,890720,8,3627.2719185745955,724.2222638412837,1515.924755846586,0.0,0.0,-692.0,-56.12327656123277,5.008506503701641,1.049872734083186,0.20961792368788096
20260108_064634,2,8,6,20,1728,25366,16620,60,optimal,1569.0,50.87890625,0.4270643432935079,1016064,1062919,1062919,optimal,1569.0,50.87890625,2.808734353383382,1035264,1069674,1069674,completed,973.0,31.25,0.43258990049362184,1035264,1068864,8,3673.919456492006,558.6145938329815,2249.243449488128,0.0,0.0,-596.0,-37.985978330146594,6.576841165718738,1.0129384653317133,0.15401595383078043
20260108_073404,3,9,5,20,1728,20921,14060,60,optimal,1265.0,41.2109375,0.37304322322209676,889920,928950,928950,optimal,1263.0,41.11328125,2.213028828303019,907920,934790,934790,completed,1229.0,40.0390625,0.38255285819371543,907920,934020,9,3391.0279593709806,570.7110471617696,3212.6279380133774,-2.0,-0.15810276679841898,-36.0,-2.8458498023715415,5.932365716734814,1.0254920459068546,0.17286392897423855
20260108_082351,4,9,6,20,1728,25495,16505,60,optimal,1567.0,51.07421875,0.45300076802571615,1067904,1114752,1114752,optimal,1568.0,51.171875,2.990299308300018,1089504,1121748,1121748,completed,1540.0,50.1953125,0.4662063717842102,1089504,1120824,9,3459.1552831783365,524.3622254293355,3303.2581560528506,1.0,0.06381620931716657,-27.0,-1.723037651563497,6.601091034199446,1.0291513937515981,0.15590625677175038
20260108_093827,5,12,5,20,1728,21077,13607,60,optimal,1307.0,42.48046875,0.39761601289113363,1019520,1058618,1058618,optimal,1307.0,42.48046875,2.7147267341613768,1043520,1064975,1064975,completed,661.0,21.19140625,0.42941914399464926,1043520,1063920,12,3287.090956162909,481.44808961913935,1539.2886163646126,0.0,0.0,-646.0,-49.42616679418516,6.8275085664235124,1.0799845329977273,0.15818135158539404
20260108_105530,6,12,6,20,1728,25081,16648,60,optimal,1609.0,52.34375,0.5201047380765279,1223424,1270341,1270341,optimal,1609.0,52.34375,4.3619394421577455,1252224,1277970,1277970,completed,1454.0,47.16796875,0.527406919002533,1252224,1276704,12,3093.6076567009713,368.872613051241,2756.8845754809236,0.0,0.0,-155.0,-9.633312616532006,8.38665584606909,1.0140398277335645,0.1209111052540513
