timestamp,instance_id,S,K,J_sk,T,observations_possible,downlinks_possible,time_limit_minutes,eossp_status,eossp_objective,eossp_data_downlinked_gb,eossp_runtime_minutes,eossp_num_variables,eossp_num_constraints,eossp_num_nonzeros,reossp_exact_status,reossp_exact_objective,reossp_exact_data_downlinked_gb,reossp_exact_runtime_minutes,reossp_exact_num_variables,reossp_exact_num_constraints,reossp_exact_num_nonzeros,reossp_rhp_status,reossp_rhp_objective,reossp_rhp_data_downlinked_gb,reossp_rhp_runtime_minutes,reossp_rhp_num_variables,reossp_rhp_num_constraints,reossp_rhp_num_stages_solved,eossp_figure_of_merit,reossp_exact_figure_of_merit,reossp_rhp_figure_of_merit,exact_vs_baseline_obj_diff,exact_vs_baseline_obj_pct,rhp_vs_baseline_obj_diff,rhp_vs_baseline_obj_pct,exact_vs_baseline_runtime_ratio,rhp_vs_baseline_runtime_ratio,rhp_vs_exact_runtime_ratio
20260118_115421,1,8,5,20,1728,20812,14039,60,optimal,1233.0,40.234375,0.4398780822753906,846720,885797,885797,optimal,2765.0,78.3203125,2.470770525932312,862720,891255,891255,completed,2762.0,77.9296875,0.49592431386311847,862720,890580,8,2803.049412287077,1119.0840958233725,5569.398238381891,1532.0,124.24979724249798,1529.0,124.00648824006488,5.616943933990915,1.127413103416777,0.20071646017227282
20260118_130622,2,8,6,20,1728,25366,16620,60,optimal,1569.0,50.87890625,0.48171453873316444,1016064,1062919,1062919,optimal,3388.0,90.72265625,3.8192280689875284,1035264,1069518,1069518,completed,866.0,21.38671875,0.5457719326019287,1035264,1068708,8,3257.1157269328637,887.090254575489,1586.7433780836016,1819.0,115.93371574251114,-703.0,-44.805608667941364,7.928405231512244,1.13297791268087,0.1429011105761516
20260118_141848,3,9,5,20,1728,20921,14060,60,optimal,1265.0,41.2109375,0.42365412712097167,889920,928950,928950,optimal,2918.0,76.46484375,2.850139327843984,907920,934595,934595,completed,2911.0,76.26953125,0.563983952999115,907920,933825,9,2985.926299353122,1023.8095981810651,5161.494373235418,1653.0,130.67193675889328,1646.0,130.1185770750988,6.727514605399195,1.3312367728641836,0.1978794325910187
20260118_154310,4,9,6,20,1728,25495,16505,60,optimal,1567.0,51.07421875,0.5472031871477763,1067904,1114752,1114752,optimal,3465.0,89.0625,4.098200190067291,1089504,1121568,1121568,completed,3421.0,88.671875,0.644327712059021,1089504,1120644,9,2863.6529113943557,845.493104118739,5309.410003595552,1898.0,121.12316528398213,1854.0,118.3152520740268,7.489357310633759,1.1774926155264067,0.15722211755801058
20260118_171124,5,12,5,20,1728,21077,13607,60,optimal,1307.0,42.48046875,0.46950202782948813,1019520,1058618,1058618,optimal,3007.0,80.078125,4.22919340133667,1043520,1064710,1064710,completed,2973.0,79.00390625,0.5870488524436951,1043520,1063655,12,2783.8005429758678,711.0102836748051,5064.3144733600275,1700.0,130.06885998469778,1666.0,127.46748278500381,9.007827763573816,1.2503648922617585,0.1388087033943999
20260118_185019,6,12,6,20,1728,25081,16648,60,optimal,1609.0,52.34375,0.609817624092102,1223424,1270341,1270341,optimal,3178.0,98.73046875,5.195839933554331,1252224,1277724,1277724,completed,2860.0,89.35546875,0.7305869301160176,1252224,1276458,12,2638.493766715062,611.643168504234,3914.660777665199,1569.0,97.51398384089497,1251.0,77.75015537600994,8.520317761051773,1.198041678778499,0.1406099763385596
