timestamp,instance_id,S,K,J_sk,T,observations_possible,downlinks_possible,time_limit_minutes,eossp_status,eossp_objective,eossp_data_downlinked_gb,eossp_runtime_minutes,eossp_num_variables,eossp_num_constraints,eossp_num_nonzeros,reossp_exact_status,reossp_exact_objective,reossp_exact_data_downlinked_gb,reossp_exact_runtime_minutes,reossp_exact_num_variables,reossp_exact_num_constraints,reossp_exact_num_nonzeros,reossp_rhp_status,reossp_rhp_objective,reossp_rhp_data_downlinked_gb,reossp_rhp_runtime_minutes,reossp_rhp_num_variables,reossp_rhp_num_constraints,reossp_rhp_num_stages_solved,eossp_figure_of_merit,reossp_exact_figure_of_merit,reossp_rhp_figure_of_merit,exact_vs_baseline_obj_diff,exact_vs_baseline_obj_pct,rhp_vs_baseline_obj_diff,rhp_vs_baseline_obj_pct,exact_vs_baseline_runtime_ratio,rhp_vs_baseline_runtime_ratio,rhp_vs_exact_runtime_ratio
20260107_234611,1,8,5,20,1728,20812,14039,60,optimal,1233.0,40.234375,0.3482464869817098,846720,885797,885797,optimal,3195.0,84.375,2.1143066843350726,862720,891040,891040,completed,3185.0,84.1796875,0.4827258308728536,862720,890365,8,3540.595658800596,1511.13366082215,6597.948144272614,1962.0,159.12408759124088,1952.0,158.31305758313056,6.071293647956075,1.3861613797074908,0.228314006879596
20260108_003558,2,8,6,20,1728,25366,16620,60,optimal,1569.0,50.87890625,0.41041171153386435,1016064,1062919,1062919,optimal,3798.0,97.36328125,2.9142694671948752,1035264,1069242,1069242,completed,926.0,23.14453125,0.46149158080418906,1035264,1068432,8,3822.9903190044247,1303.2425596716553,2006.5371471920782,2229.0,142.06500956022944,-643.0,-40.98151688973869,7.100843824127591,1.1244600673782428,0.15835583702848074
20260108_012813,3,9,5,20,1728,20921,14060,60,optimal,1265.0,41.2109375,0.37103245258331297,889920,928950,928950,optimal,3208.0,87.20703125,2.3857349316279093,907920,934335,934335,completed,3191.0,86.71875,0.5347402294476827,907920,933565,9,3409.405272213897,1344.6590220360386,5967.383458872898,1943.0,153.59683794466403,1926.0,152.25296442687747,6.429989924108344,1.441222258927904,0.2241406714377955
20260108_022108,4,9,6,20,1728,25495,16505,60,optimal,1567.0,51.07421875,0.45788628260294595,1067904,1114752,1114752,optimal,3827.0,96.38671875,3.4419519186019896,1089504,1121220,1121220,completed,3814.0,96.484375,0.5830504973729451,1089504,1120296,9,3422.2470939554596,1111.8691052356144,6541.4574160982065,2260.0,144.22463305679642,2247.0,143.39502233567325,7.517045278219577,1.2733521826827356,0.16939530567578687
20260108_032544,5,12,5,20,1728,21077,13607,60,optimal,1307.0,42.48046875,0.4046715418497721,1019520,1058618,1058618,optimal,3195.0,88.0859375,3.084497288862864,1043520,1064350,1064350,completed,3163.0,86.81640625,0.5538400014241537,1043520,1063295,12,3229.7798704244024,1035.8251931477216,5711.035663488747,1888.0,144.45294567712318,1856.0,142.00459066564653,7.622224371804071,1.3686161346867283,0.1795560020181873
20260108_045029,6,12,6,20,1728,25081,16648,60,optimal,1609.0,52.34375,0.5186427474021912,1223424,1270341,1270341,optimal,3773.0,102.9296875,5.073442769050598,1252224,1277274,1277274,completed,3757.0,103.02734375,0.659199591477712,1252224,1276008,12,3102.328159526486,743.676468179821,5699.336056289147,2164.0,134.49347420758235,2148.0,133.49906774394034,9.782153118813985,1.2710089840830714,0.12993141373329598
