timestamp,instance_id,S,K,J_sk,T,observations_possible,downlinks_possible,time_limit_minutes,eossp_status,eossp_objective,eossp_data_downlinked_gb,eossp_runtime_minutes,eossp_num_variables,eossp_num_constraints,eossp_num_nonzeros,reossp_exact_status,reossp_exact_objective,reossp_exact_data_downlinked_gb,reossp_exact_runtime_minutes,reossp_exact_num_variables,reossp_exact_num_constraints,reossp_exact_num_nonzeros,reossp_rhp_status,reossp_rhp_objective,reossp_rhp_data_downlinked_gb,reossp_rhp_runtime_minutes,reossp_rhp_num_variables,reossp_rhp_num_constraints,reossp_rhp_num_stages_solved,eossp_figure_of_merit,reossp_exact_figure_of_merit,reossp_rhp_figure_of_merit,exact_vs_baseline_obj_diff,exact_vs_baseline_obj_pct,rhp_vs_baseline_obj_diff,rhp_vs_baseline_obj_pct,exact_vs_baseline_runtime_ratio,rhp_vs_baseline_runtime_ratio,rhp_vs_exact_runtime_ratio
20260106_225414,1,8,5,20,1728,20812,14039,60,optimal,1233.0,40.234375,0.36791433493296305,846720,885797,885797,optimal,3311.0,86.03515625,2.6368858456611632,862720,890710,890710,completed,3285.0,84.9609375,0.5936499396959941,862720,890035,8,3351.3236178325656,1255.647833768781,5533.564109653976,2078.0,168.53203568532035,2052.0,166.42335766423358,7.167119069012696,1.6135547961298162,0.22513296913205755
20260106_234851,2,8,6,20,1728,25366,16620,60,optimal,1569.0,50.87890625,0.46732743581136066,1016064,1062919,1062919,optimal,3879.0,102.734375,3.8054798245429993,1035264,1068876,1068876,completed,943.0,24.8046875,0.5623371044794718,1035264,1068066,8,3357.389016281372,1019.3195546545381,1676.9300700384858,2310.0,147.22753346080307,-626.0,-39.89802421924793,8.143069575908877,1.2033042817252064,0.14777035496358282
20260107_004422,3,9,5,20,1728,20921,14060,60,optimal,1265.0,41.2109375,0.4143083572387695,889920,928950,928950,optimal,3280.0,88.4765625,3.0307840784390767,907920,934005,934005,completed,3257.0,89.2578125,0.6868367751439413,907920,933235,9,3053.281397533986,1082.228200726617,4742.029136860685,2015.0,159.2885375494071,1992.0,157.4703557312253,7.315285886672108,1.6577912637859518,0.22662016077954256
20260107_014148,4,9,6,20,1728,25495,16505,60,optimal,1567.0,51.07421875,0.5219726840655009,1067904,1114752,1114752,optimal,3914.0,98.2421875,3.8744828701019287,1089504,1120812,1120812,completed,3492.0,88.37890625,0.7330958127975464,1089504,1119888,9,3002.07280541018,1010.1993301359032,4763.360994621257,2347.0,149.77664326738991,1925.0,122.84620293554562,7.422769406101202,1.4044716039308147,0.18921126699374474
20260107_025356,5,12,5,20,1728,21077,13607,60,optimal,1307.0,42.48046875,0.4769184430440267,1019520,1058618,1058618,optimal,3345.0,91.50390625,3.449187159538269,1043520,1063945,1063945,completed,1949.0,52.9296875,0.6044909477233886,1043520,1062890,12,2740.510498310388,969.7937065403502,3224.2004737047782,2038.0,155.92960979342004,642.0,49.12012241775057,7.23223689468402,1.2674933346362223,0.17525605882294593
20260107_042151,6,12,6,20,1728,25081,16648,60,optimal,1609.0,52.34375,0.5785229802131653,1223424,1270341,1270341,optimal,4087.0,112.3046875,5.54818559885025,1252224,1276716,1276716,completed,1033.0,30.17578125,0.6569552461306254,1252224,1275450,12,2781.220547897925,736.6372171916795,1572.4054356582517,2478.0,154.00870105655687,-576.0,-35.798632691112495,9.590259658840068,1.135573293715248,0.11840902479303614
