Method,Avg Objective,Std Objective,Avg Runtime (min),Std Runtime (min),Category
REOSSP Exact,3057.4666666666667,898.4548703318317,3.4045845365524294,1.0245952214915157,Traditional
REOSSP RHP,2710.6,1124.8571280925812,0.5892455716927846,0.12838408591217026,Traditional
BGA,2262.4,523.4084900511522,2.4015039877759086,4.834344351055522,Metaheuristic
IDE,1972.9333333333334,875.3139653022263,4.3684994952678675,4.16989888702187,Metaheuristic
PSO,1728.6333333333334,1000.7449084314206,2501.121185487708,2519.9688147225197,Metaheuristic
EOSSP Baseline,1424.6333333333334,156.02154655208926,0.443406695127487,0.0722145329394073,Traditional
RGA,1417.8568359375,1397.1942622012577,542.8260078926882,1532.5073654151497,Metaheuristic
Two-Phase GA,1306.6609331778018,1415.7393616452973,2.310917662382126,0.5463756429042939,Metaheuristic
